rollTimeSum:i703462 awardDistance:1550998
rollTimeSum:vviiii787851 awardDistance:21018963
rollTimeSum:vvvii306381 awardDistance:6846291
rollTimeSum:vvvvi530010 awardDistance:8399679
rollTimeSum:vvvvvv577318 awardDistance:17345032
rollTimeSum:vvvvvvviiiiii947729 awardDistance:14906517
rollTimeSum:vvvvvvviiiiiii117361 awardDistance:154411
rollTimeSum:vvvvvvvvii867548 awardDistance:5236439
rollTimeSum:vvvvvvvviiiiiiii6232 awardDistance:4679003
rollTimeSum:vvvvvvvvvii359534 awardDistance:3963258
rollTimeSum:vvvvvvvvviii870342 awardDistance:1375823
rollTimeSum:wviiiiii954731 awardDistance:21018963
rollTimeSum:wvviiii473261 awardDistance:6846291
rollTimeSum:wvvviii696890 awardDistance:8399679
rollTimeSum:wvvvvvii744198 awardDistance:17345032
rollTimeSum:wvvvvvviiiiiiiii114609 awardDistance:14906517
rollTimeSum:wvvvvvviiiiiiiii284241 awardDistance:154411
rollTimeSum:wvvvvvvviiiii34428 awardDistance:5236439
rollTimeSum:wvvvvvvvv173112 awardDistance:4679003
rollTimeSum:wvvvvvvvviiii526414 awardDistance:3963258
rollTimeSum:wvvvvvvvviiiiii37222 awardDistance:1375823
rollTimeSum:wwiiiiiiiii121611 awardDistance:21018963
rollTimeSum:wwviiiiii640141 awardDistance:6846291
rollTimeSum:wwvviiiii863770 awardDistance:8399679
rollTimeSum:wwvvvviiii911078 awardDistance:17345032
rollTimeSum:wwvvvvvvi281489 awardDistance:14906517
rollTimeSum:wwvvvvvvi451121 awardDistance:154411
rollTimeSum:wwvvvvvviiiiiii201308 awardDistance:5236439
rollTimeSum:wwvvvvvvvii339992 awardDistance:4679003
rollTimeSum:wwvvvvvvviiiiii693294 awardDistance:3963258
rollTimeSum:wwvvvvvvviiiiiiii204102 awardDistance:1375823
rollTimeSum:wwwi288491 awardDistance:21018963
rollTimeSum:wwwiiiiiiii807021 awardDistance:6846291
rollTimeSum:wwwviiiiiiii30650 awardDistance:8399679
rollTimeSum:wwwvvviiiiiii77958 awardDistance:17345032
rollTimeSum:wwwvvvvviii448369 awardDistance:14906517
rollTimeSum:wwwvvvvviii618001 awardDistance:154411
rollTimeSum:wwwvvvvviiiiiiiii368188 awardDistance:5236439
rollTimeSum:wwwvvvvvviiii506872 awardDistance:4679003
rollTimeSum:wwwvvvvvviiiiiiii860174 awardDistance:3963258
rollTimeSum:wwwvvvvvvv370982 awardDistance:1375823
rollTimeSum:wwwvvvvvvvvviii455371 awardDistance:21018963
rollTimeSum:wwww973901 awardDistance:6846291
rollTimeSum:wwwwv197530 awardDistance:8399679
rollTimeSum:wwwwvviiiiiiiii244838 awardDistance:17345032
rollTimeSum:wwwwvvvviiiii615249 awardDistance:14906517
rollTimeSum:wwwwvvvviiiii784881 awardDistance:154411
rollTimeSum:wwwwvvvvvi535068 awardDistance:5236439
rollTimeSum:wwwwvvvvviiiiii673752 awardDistance:4679003
rollTimeSum:wwwwvvvvvvi27054 awardDistance:3963258
rollTimeSum:wwwwvvvvvvii537862 awardDistance:1375823
rollTimeSum:wwwwvvvvvvvviiiii622251 awardDistance:21018963
rollTimeSum:wwwwvvvvvvvvviii140781 awardDistance:6846291
rollTimeSum:wwwwwii364410 awardDistance:8399679
rollTimeSum:wwwwwvvi411718 awardDistance:17345032
rollTimeSum:wwwwwvvviiiiiii782129 awardDistance:14906517
rollTimeSum:wwwwwvvviiiiiii951761 awardDistance:154411
rollTimeSum:wwwwwvvvviii701948 awardDistance:5236439
rollTimeSum:wwwwwvvvviiiiiiii840632 awardDistance:4679003
rollTimeSum:wwwwwvvvvviii193934 awardDistance:3963258
rollTimeSum:wwwwwvvvvviiii704742 awardDistance:1375823
rollTimeSum:wwwwwvvvvvvviiiiiii789131 awardDistance:21018963
rollTimeSum:wwwwwvvvvvvvviiiii307661 awardDistance:6846291
rollTimeSum:wwwwwvvvvvvvvviiii531290 awardDistance:8399679
