rollTimeSum:423261 awardDistance:385342
rollTimeSum:ii425170 awardDistance:1822632
rollTimeSum:iii49411 awardDistance:568382
rollTimeSum:iii191320 awardDistance:129065
rollTimeSum:iii374423 awardDistance:166705
rollTimeSum:iiii400493 awardDistance:934723
rollTimeSum:iiii562869 awardDistance:147787
rollTimeSum:iiiii458915 awardDistance:815757
rollTimeSum:iiiii506698 awardDistance:43494
rollTimeSum:iiiii902148 awardDistance:360237
rollTimeSum:iiiiiiii539708 awardDistance:2401095
rollTimeSum:iiiiiiii878320 awardDistance:308260
rollTimeSum:iiiiiiiiii2794 awardDistance:1023779
rollTimeSum:iiiiiiiiii284706 awardDistance:256984
rollTimeSum:vi253966 awardDistance:882701
rollTimeSum:viii258087 awardDistance:1824622
rollTimeSum:viiii175119 awardDistance:834664
rollTimeSum:viiii628687 awardDistance:412974
rollTimeSum:viiiii584686 awardDistance:870858
rollTimeSum:viiiiii13311 awardDistance:390109
rollTimeSum:viiiiiii520966 awardDistance:1372668
rollTimeSum:viiiiiiii111411 awardDistance:537388
rollTimeSum:vvi15231 awardDistance:2644550
rollTimeSum:vvi745872 awardDistance:665280
rollTimeSum:vvii139580 awardDistance:358353
rollTimeSum:vvii678408 awardDistance:490931
rollTimeSum:vviii304769 awardDistance:570299
rollTimeSum:vviiii417268 awardDistance:1012815
rollTimeSum:vviiiiii890638 awardDistance:2252005
rollTimeSum:vviiiiiiiii555339 awardDistance:2426819
rollTimeSum:vvvi76774 awardDistance:1385173
rollTimeSum:vvvi648838 awardDistance:520750
rollTimeSum:vvvi853324 awardDistance:186555
rollTimeSum:vvvii417644 awardDistance:513621
rollTimeSum:vvviii305263 awardDistance:808086
rollTimeSum:vvviiii153221 awardDistance:772331
rollTimeSum:vvviiiiiii909641 awardDistance:3420448
rollTimeSum:vvviiiiiiiii362021 awardDistance:1322710
rollTimeSum:vvviiiiiiiii600696 awardDistance:217375
rollTimeSum:vvviiiiiiiii969641 awardDistance:335934
rollTimeSum:vvvv528402 awardDistance:509270
rollTimeSum:vvvvi871501 awardDistance:1223647
rollTimeSum:vvvvi957709 awardDistance:78429
rollTimeSum:vvvvii967070 awardDistance:919298
rollTimeSum:vvvviiii77329 awardDistance:1011258
rollTimeSum:vvvviiiii406688 awardDistance:1210017
rollTimeSum:vvvviiiii673327 awardDistance:242810
rollTimeSum:vvvviiiiiii124285 awardDistance:1320930
rollTimeSum:vvvviiiiiii675370 awardDistance:501700
rollTimeSum:vvvviiiiiiiii196750 awardDistance:1385604
rollTimeSum:vvvvv327421 awardDistance:1029805
rollTimeSum:vvvvvi334829 awardDistance:917049
rollTimeSum:vvvvviii66995 awardDistance:1577793
rollTimeSum:vvvvviii770156 awardDistance:640393
rollTimeSum:vvvvviii787772 awardDistance:16030
rollTimeSum:vvvvviiii119993 awardDistance:302488
rollTimeSum:vvvvviiiii191939 awardDistance:976487
rollTimeSum:vvvvviiiii215245 awardDistance:21204
rollTimeSum:vvvvviiiiii14516 awardDistance:727920
rollTimeSum:vvvvviiiiii711999 awardDistance:635088
rollTimeSum:vvvvviiiiiii900109 awardDistance:1081816
rollTimeSum:vvvvviiiiiiiii151642 awardDistance:1139431
