rollTimeSum:3723970 awardDistance:["3391841"]
rollTimeSum:ii6654790 awardDistance:["20879717"]
rollTimeSum:iii9402915 awardDistance:["11607613"]
rollTimeSum:iiii1057965 awardDistance:["1506872"]
rollTimeSum:iiiiii3882789 awardDistance:["20785746"]
rollTimeSum:iiiiiii2516827 awardDistance:["7862746"]
rollTimeSum:iiiiiiii4794387 awardDistance:["11182083"]
rollTimeSum:iiiiiiii6889260 awardDistance:["1908041"]
rollTimeSum:iiiiiiiii708370 awardDistance:["3477948"]
rollTimeSum:iiiiiiiiii7083875 awardDistance:["14912451"]
rollTimeSum:vii249153 awardDistance:["11987268"]
rollTimeSum:vii446099 awardDistance:["179207"]
rollTimeSum:viiii358569 awardDistance:["18131568"]
rollTimeSum:viiiiiiiii3741233 awardDistance:["48611187"]
rollTimeSum:viiiiiiiii6948474 awardDistance:["2920707"]
rollTimeSum:vvi2416033 awardDistance:["14082747"]
rollTimeSum:vvi2612979 awardDistance:["179207"]
rollTimeSum:vviii2525449 awardDistance:["18131568"]
rollTimeSum:vviiiiiiii5908113 awardDistance:["48611187"]
rollTimeSum:vviiiiiiii9115354 awardDistance:["2920707"]
rollTimeSum:vvv4582913 awardDistance:["14082747"]
rollTimeSum:vvv4779859 awardDistance:["179207"]
rollTimeSum:vvvii4692329 awardDistance:["18131568"]
rollTimeSum:vvviiiiiii8074993 awardDistance:["48611187"]
rollTimeSum:vvviiiiiiii1282234 awardDistance:["2920707"]
rollTimeSum:vvviiiiiiiii6749793 awardDistance:["14082747"]
rollTimeSum:vvviiiiiiiii6946739 awardDistance:["179207"]
rollTimeSum:vvvvi6859209 awardDistance:["18131568"]
rollTimeSum:vvvviiiiiii241873 awardDistance:["48611187"]
rollTimeSum:vvvviiiiiii3449114 awardDistance:["2920707"]
rollTimeSum:vvvviiiiiiii8916673 awardDistance:["14082747"]
rollTimeSum:vvvviiiiiiii9113619 awardDistance:["179207"]
rollTimeSum:vvvvv9026089 awardDistance:["18131568"]
rollTimeSum:vvvvviiiiii2408753 awardDistance:["48611187"]
rollTimeSum:vvvvviiiiii5615994 awardDistance:["2920707"]
rollTimeSum:vvvvviiiiiiii1083553 awardDistance:["14082747"]
rollTimeSum:vvvvviiiiiiii1280499 awardDistance:["179207"]
rollTimeSum:vvvvvv1192969 awardDistance:["18131568"]
rollTimeSum:vvvvvviiiii4575633 awardDistance:["48611187"]
rollTimeSum:vvvvvviiiii7782874 awardDistance:["2920707"]
rollTimeSum:vvvvvviiiiiii3250433 awardDistance:["14082747"]
rollTimeSum:vvvvvviiiiiii3447379 awardDistance:["179207"]
rollTimeSum:vvvvvviiiiiiiii3359849 awardDistance:["18131568"]
rollTimeSum:vvvvvvviiii6742513 awardDistance:["48611187"]
rollTimeSum:vvvvvvviiii9949754 awardDistance:["2920707"]
rollTimeSum:vvvvvvviiiiii5417313 awardDistance:["14082747"]
rollTimeSum:vvvvvvviiiiii5614259 awardDistance:["179207"]
rollTimeSum:vvvvvvviiiiiiii5526729 awardDistance:["18131568"]
rollTimeSum:vvvvvvvviii8909393 awardDistance:["48611187"]
rollTimeSum:vvvvvvvviiii2116634 awardDistance:["2920707"]
rollTimeSum:vvvvvvvviiiii7584193 awardDistance:["14082747"]
rollTimeSum:vvvvvvvviiiii7781139 awardDistance:["179207"]
rollTimeSum:vvvvvvvviiiiiii7693609 awardDistance:["18131568"]
rollTimeSum:vvvvvvvvviii1076273 awardDistance:["48611187"]
rollTimeSum:vvvvvvvvviii4283514 awardDistance:["2920707"]
rollTimeSum:vvvvvvvvviiii9751073 awardDistance:["14082747"]
rollTimeSum:vvvvvvvvviiii9948019 awardDistance:["179207"]
rollTimeSum:vvvvvvvvviiiiii9860489 awardDistance:["18131568"]
rollTimeSum:Wii3243153 awardDistance:["48611187"]
rollTimeSum:Wii6450394 awardDistance:["2920707"]
rollTimeSum:Wiiii1917953 awardDistance:["14082747"]
rollTimeSum:Wiiii2114899 awardDistance:["179207"]
rollTimeSum:Wiiiiii2027369 awardDistance:["18131568"]
