rollTimeSum:ii163220 awardDistance:18359345
rollTimeSum:ii7970037 awardDistance:7108587
rollTimeSum:iiii8299276 awardDistance:18510624
rollTimeSum:iiiii9109099 awardDistance:9844237
rollTimeSum:iiiiii8387964 awardDistance:8449063
rollTimeSum:iiiiiiiii6986610 awardDistance:26042690
rollTimeSum:vi2330100 awardDistance:13970215
rollTimeSum:vii136917 awardDistance:7108587
rollTimeSum:viiii466156 awardDistance:18510624
rollTimeSum:viiiii1275979 awardDistance:9844237
rollTimeSum:viiiiii554844 awardDistance:8449063
rollTimeSum:viiiiiiii9153490 awardDistance:26042690
rollTimeSum:vv4496980 awardDistance:13970215
rollTimeSum:vvi2303797 awardDistance:7108587
rollTimeSum:vviii2633036 awardDistance:18510624
rollTimeSum:vviiii3442859 awardDistance:9844237
rollTimeSum:vviiiii2721724 awardDistance:8449063
rollTimeSum:vviiiiiiii1320370 awardDistance:26042690
rollTimeSum:vviiiiiiiii6663860 awardDistance:13970215
rollTimeSum:vvv4470677 awardDistance:7108587
