rollTimeSum:i325872 awardDistance:["9401542"]
rollTimeSum:iii2331614 awardDistance:["20039452"]
rollTimeSum:iiii4257916 awardDistance:["10861579"]
rollTimeSum:iiiiii1267145 awardDistance:["15487134"]
rollTimeSum:iiiiii4228378 awardDistance:["2696480"]
rollTimeSum:iiiiii9065502 awardDistance:["4404153"]
rollTimeSum:iiiiiii1369327 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiii7771785 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiii3434025 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiii6395258 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiii1232382 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiii3536207 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiii9938665 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiii5600905 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiii8562138 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiii3399262 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiii5703087 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiii2105545 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii7767785 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii729018 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii5566142 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii7869967 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii4272425 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii9934665 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii2895898 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii7733022 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii36847 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii6439305 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii2101545 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii5062778 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii9899902 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii2203727 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii8606185 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii4268425 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii7229658 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii2066782 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii4370607 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii773065 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii6435305 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii9396538 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii4233662 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii6537487 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii2939945 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii8602185 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii1563418 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii6400542 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii8704367 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii5106825 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii769065 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii3730298 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii8567422 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii871247 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii7273705 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii2935945 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii5897178 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii734302 awardDistance:["4404153"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii3038127 awardDistance:["2097028"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii9440585 awardDistance:["51361352"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii5102825 awardDistance:["23366403"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii8064058 awardDistance:["2696480"]
rollTimeSum:iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii2901182 awardDistance:["4404153"]
