rollTimeSum:887759 awardDistance:[808185]
,rollTimeSum:2547428 awardDistance:[1511230]
,rollTimeSum:6466581 awardDistance:[3568473]
,rollTimeSum:6508366 awardDistance:[38061]
rollTimeSum:13520465 awardDistance:[4584291]
,rollTimeSum:14028337 awardDistance:[462564]
,rollTimeSum:14369438 awardDistance:[310496]
rollTimeSum:16044516 awardDistance:[188852]
,rollTimeSum:17281841 awardDistance:[1126474]
,rollTimeSum:17393153 awardDistance:[101413]
,rollTimeSum:18880571 awardDistance:[1354132]
,rollTimeSum:19529154 awardDistance:[590671]
,rollTimeSum:20688368 awardDistance:[1055640]
,rollTimeSum:21106719 awardDistance:[381051]
,rollTimeSum:21804952 awardDistance:[635425]
rollTimeSum:24630699 awardDistance:[287450]
,rollTimeSum:25310191 awardDistance:[618942]
,rollTimeSum:25329385 awardDistance:[17470]
,rollTimeSum:25539625 awardDistance:[191565]
,rollTimeSum:26080310 awardDistance:[492228]
,rollTimeSum:27505735 awardDistance:[1297937]
,rollTimeSum:28248131 awardDistance:[675465]
,rollTimeSum:31005589 awardDistance:[2511732]
rollTimeSum:31771921 awardDistance:[142042]
,rollTimeSum:32069498 awardDistance:[270937]
,rollTimeSum:33366235 awardDistance:[1180654]
,rollTimeSum:34131248 awardDistance:[696976]
,rollTimeSum:34724563 awardDistance:[539952]
,rollTimeSum:36175003 awardDistance:[1320511]
,rollTimeSum:37775831 awardDistance:[1458029]
rollTimeSum:39725571 awardDistance:[180083]
,rollTimeSum:40285405 awardDistance:[509652]
,rollTimeSum:41011916 awardDistance:[661390]
,rollTimeSum:41623907 awardDistance:[557357]
,rollTimeSum:42356187 awardDistance:[666751]
,rollTimeSum:44153059 awardDistance:[1636032]
,rollTimeSum:44857594 awardDistance:[641691]
,rollTimeSum:45170834 awardDistance:[285163]
rollTimeSum:53368363 awardDistance:[165720]
,rollTimeSum:53693251 awardDistance:[295960]
,rollTimeSum:57400297 awardDistance:[3375080]
,rollTimeSum:57915067 awardDistance:[468461]
,rollTimeSum:59099110 awardDistance:[1078467]
rollTimeSum:66740386 awardDistance:[5378422]
,rollTimeSum:66934205 awardDistance:[176598]
,rollTimeSum:67115923 awardDistance:[165608]
rollTimeSum:69989320 awardDistance:[421305]
,rollTimeSum:73189658 awardDistance:[2913714]
,rollTimeSum:74453298 awardDistance:[1150463]
,rollTimeSum:74925289 awardDistance:[430063]
,rollTimeSum:75394118 awardDistance:[427023]
,rollTimeSum:75641777 awardDistance:[225373]
rollTimeSum:82110083 awardDistance:[4048696]
,rollTimeSum:82160764 awardDistance:[46135]
,rollTimeSum:83282778 awardDistance:[1021716]
,rollTimeSum:84060337 awardDistance:[708026]
rollTimeSum:85937817 awardDistance:[193776]
,rollTimeSum:86252758 awardDistance:[286737]
,rollTimeSum:86750904 awardDistance:[453600]
,rollTimeSum:87586075 awardDistance:[760258]
,rollTimeSum:87782498 awardDistance:[178967]
,rollTimeSum:88168102 awardDistance:[351210]
,rollTimeSum:89910775 awardDistance:[1587141]
,rollTimeSum:89937188 awardDistance:[23982]
rollTimeSum:94759970 awardDistance:[468592]
,rollTimeSum:96487056 awardDistance:[1573032]
,rollTimeSum:96950201 awardDistance:[421710]
,rollTimeSum:97704961 awardDistance:[687140]
,rollTimeSum:97735749 awardDistance:[28034]
,rollTimeSum:99019522 awardDistance:[1168513]
,rollTimeSum:99307181 awardDistance:[261887]
rollTimeSum:103242922 awardDistance:[873217]
,rollTimeSum:103535678 awardDistance:[266749]
,rollTimeSum:105687345 awardDistance:[1958701]
,rollTimeSum:106195217 awardDistance:[462564]
,rollTimeSum:106536318 awardDistance:[310496]
,rollTimeSum:108003936 awardDistance:[1336485]
,rollTimeSum:108211396 awardDistance:[188852]
,rollTimeSum:109448721 awardDistance:[1126474]
,rollTimeSum:109560033 awardDistance:[101413]
rollTimeSum:111696034 awardDistance:[590671]
,rollTimeSum:112855248 awardDistance:[1055640]
,rollTimeSum:113273599 awardDistance:[381051]
,rollTimeSum:113971832 awardDistance:[635425]
,rollTimeSum:116482092 awardDistance:[2285243]
,rollTimeSum:116797579 awardDistance:[287450]
,rollTimeSum:117477071 awardDistance:[618942]
,rollTimeSum:117496265 awardDistance:[17470]
,rollTimeSum:117706505 awardDistance:[191565]
,rollTimeSum:118247190 awardDistance:[492228]
rollTimeSum:120415011 awardDistance:[675465]
,rollTimeSum:123172469 awardDistance:[2511732]
,rollTimeSum:123782773 awardDistance:[555346]
,rollTimeSum:123938801 awardDistance:[142042]
