rollTimeSum:62470 awardDistance:56955
rollTimeSum:158550 awardDistance:87451
rollTimeSum:315882 awardDistance:143465
rollTimeSum:327581 awardDistance:10680
rollTimeSum:343598 awardDistance:14595
rollTimeSum:369792 awardDistance:23856
rollTimeSum:372250 awardDistance:2242
rollTimeSum:374658 awardDistance:2186
rollTimeSum:450055 awardDistance:68649
rollTimeSum:592223 awardDistance:129586
rollTimeSum:753273 awardDistance:146688
rollTimeSum:763055 awardDistance:8895
rollTimeSum:788134 awardDistance:22797
rollTimeSum:911414 awardDistance:112097
rollTimeSum:926181 awardDistance:13473
rollTimeSum:926201 awardDistance:17
rollTimeSum:975189 awardDistance:44677
rollTimeSum:1059590 awardDistance:76821
rollTimeSum:1099344 awardDistance:36116
rollTimeSum:1136417 awardDistance:33743
rollTimeSum:1179683 awardDistance:39414
rollTimeSum:1197068 awardDistance:15833
rollTimeSum:1207737 awardDistance:9720
rollTimeSum:1265118 awardDistance:52258
rollTimeSum:1370435 awardDistance:95850
rollTimeSum:1410516 awardDistance:36533
rollTimeSum:1427009 awardDistance:14924
rollTimeSum:1489055 awardDistance:56507
rollTimeSum:1494369 awardDistance:4844
rollTimeSum:1538189 awardDistance:39858
rollTimeSum:1550439 awardDistance:11073
rollTimeSum:1619153 awardDistance:62575
rollTimeSum:1628385 awardDistance:8383
rollTimeSum:1692755 awardDistance:58633
rollTimeSum:1786000 awardDistance:84919
rollTimeSum:1792805 awardDistance:6194
rollTimeSum:1804821 awardDistance:10913
rollTimeSum:1835503 awardDistance:28016
rollTimeSum:1878148 awardDistance:38915
rollTimeSum:1880503 awardDistance:2164
rollTimeSum:1890496 awardDistance:9090
rollTimeSum:1960221 awardDistance:63547
rollTimeSum:1990693 awardDistance:27720
rollTimeSum:2099341 awardDistance:98948
rollTimeSum:2138891 awardDistance:35983
rollTimeSum:2162007 awardDistance:21060
rollTimeSum:2185370 awardDistance:21310
rollTimeSum:2228393 awardDistance:39226
rollTimeSum:2392266 awardDistance:149361
rollTimeSum:2422138 awardDistance:27189
rollTimeSum:2442818 awardDistance:18795
rollTimeSum:2466345 awardDistance:21517
rollTimeSum:2466381 awardDistance:35
rollTimeSum:2556980 awardDistance:82472
rollTimeSum:2604309 awardDistance:43124
rollTimeSum:2635086 awardDistance:27962
rollTimeSum:2668348 awardDistance:30361
rollTimeSum:2728746 awardDistance:55072
rollTimeSum:2899017 awardDistance:155014
rollTimeSum:2948148 awardDistance:44672
rollTimeSum:2954596 awardDistance:5894
rollTimeSum:2964156 awardDistance:8748
rollTimeSum:3001401 awardDistance:33917
rollTimeSum:3005162 awardDistance:3403
rollTimeSum:3044394 awardDistance:35765
rollTimeSum:3065694 awardDistance:19381
rollTimeSum:3069907 awardDistance:3825
rollTimeSum:3113619 awardDistance:39735
rollTimeSum:3115960 awardDistance:2146
rollTimeSum:3126380 awardDistance:9570
rollTimeSum:3159202 awardDistance:29930
rollTimeSum:3304500 awardDistance:132198
rollTimeSum:3315674 awardDistance:10128
rollTimeSum:3369665 awardDistance:49099
rollTimeSum:3572548 awardDistance:184927
rollTimeSum:3649800 awardDistance:70247
rollTimeSum:3663795 awardDistance:12785
rollTimeSum:3701552 awardDistance:34420
rollTimeSum:3730874 awardDistance:26595
rollTimeSum:3894558 awardDistance:149061
rollTimeSum:4051957 awardDistance:143162
rollTimeSum:4091275 awardDistance:35766
rollTimeSum:4154628 awardDistance:57660
rollTimeSum:4210247 awardDistance:50631
rollTimeSum:4257919 awardDistance:43395
rollTimeSum:4307428 awardDistance:45172
rollTimeSum:4310451 awardDistance:2796
rollTimeSum:4376751 awardDistance:60416
rollTimeSum:4491759 awardDistance:104750
rollTimeSum:4621105 awardDistance:117647
rollTimeSum:4629252 awardDistance:7453
rollTimeSum:4675221 awardDistance:41875
rollTimeSum:4678182 awardDistance:2680
rollTimeSum:4727898 awardDistance:45269
rollTimeSum:4792429 awardDistance:58777
rollTimeSum:4917674 awardDistance:114156
rollTimeSum:4992289 awardDistance:67868
rollTimeSum:5050817 awardDistance:53221
rollTimeSum:5094420 awardDistance:39638
rollTimeSum:5099246 awardDistance:4418
rollTimeSum:5168381 awardDistance:62916
rollTimeSum:5208495 awardDistance:36519
rollTimeSum:5232000 awardDistance:21419
rollTimeSum:5238456 awardDistance:5918
rollTimeSum:5296325 awardDistance:52587
rollTimeSum:5333970 awardDistance:34261
rollTimeSum:5350845 awardDistance:15359
rollTimeSum:5373731 awardDistance:20907
rollTimeSum:5572665 awardDistance:181102
rollTimeSum:5590773 awardDistance:16524
rollTimeSum:5619186 awardDistance:25824
rollTimeSum:5626264 awardDistance:6438
rollTimeSum:5659855 awardDistance:30616
rollTimeSum:5667444 awardDistance:6952
rollTimeSum:5720605 awardDistance:48359
rollTimeSum:5815803 awardDistance:86626
rollTimeSum:5829450 awardDistance:12493
rollTimeSum:5857879 awardDistance:25900
rollTimeSum:6023050 awardDistance:150411
rollTimeSum:6048095 awardDistance:22776
rollTimeSum:6083625 awardDistance:32316
rollTimeSum:6094017 awardDistance:9512
rollTimeSum:6099922 awardDistance:5343
rollTimeSum:6255405 awardDistance:141472
rollTimeSum:6271670 awardDistance:14838
rollTimeSum:6326595 awardDistance:49999
rollTimeSum:6425368 awardDistance:89909
rollTimeSum:6462621 awardDistance:33973
rollTimeSum:6503428 awardDistance:37237
rollTimeSum:6682629 awardDistance:162922
rollTimeSum:6697744 awardDistance:13693
rollTimeSum:6706498 awardDistance:7928
rollTimeSum:6735941 awardDistance:26794
rollTimeSum:6772403 awardDistance:33243
rollTimeSum:6812794 awardDistance:36853
rollTimeSum:6871986 awardDistance:53828
rollTimeSum:6967979 awardDistance:87466
rollTimeSum:6991225 awardDistance:21150
rollTimeSum:6993649 awardDistance:2213
rollTimeSum:7000581 awardDistance:6281
rollTimeSum:7017363 awardDistance:15256
rollTimeSum:7094827 awardDistance:70507
rollTimeSum:7129348 awardDistance:31480
rollTimeSum:7244609 awardDistance:105043
rollTimeSum:7271488 awardDistance:24495
rollTimeSum:7427974 awardDistance:142742
rollTimeSum:7529488 awardDistance:92339
rollTimeSum:7531653 awardDistance:1981
rollTimeSum:7545112 awardDistance:12199
rollTimeSum:7648600 awardDistance:94300
rollTimeSum:7679164 awardDistance:27759
rollTimeSum:7709921 awardDistance:28060
rollTimeSum:7755168 awardDistance:41221
rollTimeSum:8023955 awardDistance:245006
rollTimeSum:8082539 awardDistance:53411
rollTimeSum:8104674 awardDistance:20208
rollTimeSum:8175467 awardDistance:64467
rollTimeSum:8222250 awardDistance:42657
rollTimeSum:8359111 awardDistance:124658
rollTimeSum:8406225 awardDistance:42859
rollTimeSum:8435675 awardDistance:26844
rollTimeSum:8495324 awardDistance:54175
rollTimeSum:8508740 awardDistance:12238
rollTimeSum:8550574 awardDistance:38170
rollTimeSum:8732014 awardDistance:165171
rollTimeSum:8770565 awardDistance:35067
rollTimeSum:8844663 awardDistance:67464
rollTimeSum:8960123 awardDistance:105098
rollTimeSum:8964481 awardDistance:3955
rollTimeSum:8966514 awardDistance:1847
rollTimeSum:9287991 awardDistance:292796
rollTimeSum:9289239 awardDistance:1141
rollTimeSum:9331720 awardDistance:38631
rollTimeSum:9388814 awardDistance:51956
rollTimeSum:9517924 awardDistance:117569
rollTimeSum:9581491 awardDistance:57802
rollTimeSum:9690114 awardDistance:98939
rollTimeSum:9787506 awardDistance:88693
rollTimeSum:9903512 awardDistance:105549
rollTimeSum:9915018 awardDistance:10500
