rollTimeSum:137459 awardDistance:["125107"]
rollTimeSum:317027 awardDistance:["163595"]
rollTimeSum:466972 awardDistance:["136754"]
rollTimeSum:594147 awardDistance:["115893"]
rollTimeSum:641299 awardDistance:["42943"]
rollTimeSum:777638 awardDistance:["124189"]
rollTimeSum:829435 awardDistance:["47225"]
rollTimeSum:831411 awardDistance:["1803"]
rollTimeSum:837254 awardDistance:["5346"]
rollTimeSum:840949 awardDistance:["3351"]
rollTimeSum:902212 awardDistance:["55867"]
rollTimeSum:976245 awardDistance:["67448"]
rollTimeSum:989913 awardDistance:["12389"]
rollTimeSum:1003463 awardDistance:["12319"]
rollTimeSum:1037561 awardDistance:["31015"]
rollTimeSum:1123509 awardDistance:["78307"]
rollTimeSum:1171599 awardDistance:["43834"]
rollTimeSum:1207788 awardDistance:["32968"]
rollTimeSum:1242632 awardDistance:["31796"]
rollTimeSum:1254514 awardDistance:["10849"]
rollTimeSum:1291665 awardDistance:["33702"]
rollTimeSum:1388297 awardDistance:["87899"]
rollTimeSum:1530652 awardDistance:["129446"]
rollTimeSum:1691362 awardDistance:["146291"]
rollTimeSum:1703763 awardDistance:["11248"]
rollTimeSum:1822995 awardDistance:["108494"]
rollTimeSum:1905675 awardDistance:["75198"]
rollTimeSum:2003363 awardDistance:["89089"]
rollTimeSum:2036359 awardDistance:["30033"]
rollTimeSum:2082482 awardDistance:["42113"]
rollTimeSum:2157459 awardDistance:["68197"]
rollTimeSum:2199751 awardDistance:["38552"]
rollTimeSum:2209259 awardDistance:["8577"]
rollTimeSum:2358507 awardDistance:["135939"]
rollTimeSum:2359505 awardDistance:["922"]
rollTimeSum:2371053 awardDistance:["10461"]
rollTimeSum:2388570 awardDistance:["15983"]
rollTimeSum:2408538 awardDistance:["18211"]
rollTimeSum:2416005 awardDistance:["6760"]
rollTimeSum:2501755 awardDistance:["78003"]
rollTimeSum:2598979 awardDistance:["88582"]
rollTimeSum:2635098 awardDistance:["32856"]
rollTimeSum:2716253 awardDistance:["73757"]
rollTimeSum:2767786 awardDistance:["46908"]
rollTimeSum:2774434 awardDistance:["6089"]
rollTimeSum:2832666 awardDistance:["52934"]
rollTimeSum:2835497 awardDistance:["2594"]
rollTimeSum:2852138 awardDistance:["15154"]
rollTimeSum:2873175 awardDistance:["19095"]
rollTimeSum:2873261 awardDistance:["73"]
rollTimeSum:2911972 awardDistance:["35264"]
rollTimeSum:3175845 awardDistance:["240267"]
rollTimeSum:3282416 awardDistance:["96942"]
rollTimeSum:3285891 awardDistance:["3181"]
rollTimeSum:3286658 awardDistance:["687"]
rollTimeSum:3291697 awardDistance:["4600"]
rollTimeSum:3333735 awardDistance:["38299"]
rollTimeSum:3411070 awardDistance:["70413"]
rollTimeSum:3537354 awardDistance:["115078"]
rollTimeSum:3592279 awardDistance:["50066"]
rollTimeSum:3594138 awardDistance:["1712"]
rollTimeSum:3644544 awardDistance:["45843"]
rollTimeSum:3674240 awardDistance:["27027"]
rollTimeSum:3880371 awardDistance:["187812"]
rollTimeSum:3945227 awardDistance:["59138"]
rollTimeSum:3982243 awardDistance:["33653"]
rollTimeSum:4033599 awardDistance:["46848"]
rollTimeSum:4134525 awardDistance:["91889"]
rollTimeSum:4268310 awardDistance:["121782"]
rollTimeSum:4272354 awardDistance:["3676"]
rollTimeSum:4305509 awardDistance:["30246"]
rollTimeSum:4340432 awardDistance:["31747"]
rollTimeSum:4385643 awardDistance:["41266"]
rollTimeSum:4388898 awardDistance:["2954"]
rollTimeSum:4414135 awardDistance:["22959"]
rollTimeSum:4423906 awardDistance:["8926"]
rollTimeSum:4469369 awardDistance:["41371"]
rollTimeSum:4488754 awardDistance:["17577"]
rollTimeSum:4581720 awardDistance:["84609"]
rollTimeSum:4608294 awardDistance:["24252"]
rollTimeSum:4613236 awardDistance:["4478"]
rollTimeSum:4618852 awardDistance:["5114"]
rollTimeSum:4625881 awardDistance:["6426"]
rollTimeSum:4668198 awardDistance:["38565"]
rollTimeSum:4674646 awardDistance:["5878"]
rollTimeSum:4696614 awardDistance:["19959"]
rollTimeSum:4716815 awardDistance:["18352"]
rollTimeSum:4733755 awardDistance:["15448"]
rollTimeSum:4889051 awardDistance:["141607"]
rollTimeSum:4930450 awardDistance:["37602"]
